date,store_id,product_id,units_sold,stock_on_hand
2026-02-26,Bucuresti (Baneasa),Samsung Tab S9 (P10),3,3
2026-02-28,Bucuresti (Baneasa),Samsung Tab S9 (P10),3,15
2026-03-01,Bucuresti (Baneasa),Samsung Tab S9 (P10),3,12
2026-03-02,Bucuresti (Baneasa),Samsung Tab S9 (P10),4,9
2026-03-03,Bucuresti (Baneasa),Samsung Tab S9 (P10),2,5
2026-03-04,Bucuresti (Baneasa),Samsung Tab S9 (P10),1,3
2026-03-05,Bucuresti (Baneasa),Samsung Tab S9 (P10),2,2
2026-03-14,Bucuresti (Baneasa),Samsung Tab S9 (P10),0,0
2026-02-13,Bucuresti (Baneasa),Apple Watch Series 9 (P11),5,24
2026-02-14,Bucuresti (Baneasa),Apple Watch Series 9 (P11),2,19
2026-02-15,Bucuresti (Baneasa),Apple Watch Series 9 (P11),5,17
2026-02-17,Bucuresti (Baneasa),Apple Watch Series 9 (P11),2,12
2026-02-18,Bucuresti (Baneasa),Apple Watch Series 9 (P11),1,10
2026-02-19,Bucuresti (Baneasa),Apple Watch Series 9 (P11),1,9
2026-02-20,Bucuresti (Baneasa),Apple Watch Series 9 (P11),2,8
2026-02-21,Bucuresti (Baneasa),Apple Watch Series 9 (P11),3,6
2026-02-22,Bucuresti (Baneasa),Apple Watch Series 9 (P11),1,3
2026-02-24,Bucuresti (Baneasa),Apple Watch Series 9 (P11),2,2
2026-02-26,Bucuresti (Baneasa),Apple Watch Series 9 (P11),1,21
2026-02-27,Bucuresti (Baneasa),Apple Watch Series 9 (P11),3,20
2026-02-28,Bucuresti (Baneasa),Apple Watch Series 9 (P11),5,17
2026-03-01,Bucuresti (Baneasa),Apple Watch Series 9 (P11),5,12
2026-03-02,Bucuresti (Baneasa),Apple Watch Series 9 (P11),1,7
2026-03-03,Bucuresti (Baneasa),Apple Watch Series 9 (P11),4,6
2026-03-04,Bucuresti (Baneasa),Apple Watch Series 9 (P11),2,2
2026-03-14,Bucuresti (Baneasa),Apple Watch Series 9 (P11),0,0
2026-02-13,Bucuresti (Baneasa),Samsung Galaxy Watch 6 (P12),6,26
2026-02-14,Bucuresti (Baneasa),Samsung Galaxy Watch 6 (P12),4,20
2026-02-15,Bucuresti (Baneasa),Samsung Galaxy Watch 6 (P12),5,16
2026-02-16,Bucuresti (Baneasa),Samsung Galaxy Watch 6 (P12),3,11
2026-02-17,Bucuresti (Baneasa),Samsung Galaxy Watch 6 (P12),7,8
2026-02-18,Bucuresti (Baneasa),Samsung Galaxy Watch 6 (P12),4,23
2026-02-19,Bucuresti (Baneasa),Samsung Galaxy Watch 6 (P12),5,19
2026-02-20,Bucuresti (Baneasa),Samsung Galaxy Watch 6 (P12),3,14
2026-02-21,Bucuresti (Baneasa),Samsung Galaxy Watch 6 (P12),11,11
2026-03-14,Bucuresti (Baneasa),Samsung Galaxy Watch 6 (P12),0,0
2026-02-13,Bucuresti (Baneasa),Garmin Fenix 7 (P13),2,39
2026-02-14,Bucuresti (Baneasa),Garmin Fenix 7 (P13),5,37
2026-02-15,Bucuresti (Baneasa),Garmin Fenix 7 (P13),3,32
2026-02-16,Bucuresti (Baneasa),Garmin Fenix 7 (P13),4,29
2026-02-17,Bucuresti (Baneasa),Garmin Fenix 7 (P13),6,25
2026-02-18,Bucuresti (Baneasa),Garmin Fenix 7 (P13),3,19
2026-02-19,Bucuresti (Baneasa),Garmin Fenix 7 (P13),5,16
2026-02-20,Bucuresti (Baneasa),Garmin Fenix 7 (P13),2,11
2026-02-21,Bucuresti (Baneasa),Garmin Fenix 7 (P13),7,9
2026-02-22,Bucuresti (Baneasa),Garmin Fenix 7 (P13),2,2
2026-03-08,Bucuresti (Baneasa),Garmin Fenix 7 (P13),2,27
2026-03-10,Bucuresti (Baneasa),Garmin Fenix 7 (P13),3,25
2026-03-11,Bucuresti (Baneasa),Garmin Fenix 7 (P13),1,22
2026-03-12,Bucuresti (Baneasa),Garmin Fenix 7 (P13),2,21
2026-03-13,Bucuresti (Baneasa),Garmin Fenix 7 (P13),6,19
2026-03-14,Bucuresti (Baneasa),Garmin Fenix 7 (P13),4,13
2026-02-13,Bucuresti (Baneasa),AirPods Pro 2 (P14),3,37
2026-02-14,Bucuresti (Baneasa),AirPods Pro 2 (P14),1,34
2026-02-15,Bucuresti (Baneasa),AirPods Pro 2 (P14),3,33
2026-02-16,Bucuresti (Baneasa),AirPods Pro 2 (P14),2,30
2026-02-18,Bucuresti (Baneasa),AirPods Pro 2 (P14),3,28
2026-02-20,Bucuresti (Baneasa),AirPods Pro 2 (P14),1,25
2026-02-21,Bucuresti (Baneasa),AirPods Pro 2 (P14),5,24
2026-02-22,Bucuresti (Baneasa),AirPods Pro 2 (P14),3,19
2026-02-23,Bucuresti (Baneasa),AirPods Pro 2 (P14),1,16
2026-02-24,Bucuresti (Baneasa),AirPods Pro 2 (P14),3,15
2026-02-25,Bucuresti (Baneasa),AirPods Pro 2 (P14),2,12
2026-02-26,Bucuresti (Baneasa),AirPods Pro 2 (P14),1,10
2026-02-28,Bucuresti (Baneasa),AirPods Pro 2 (P14),3,9
2026-03-02,Bucuresti (Baneasa),AirPods Pro 2 (P14),1,6
2026-03-03,Bucuresti (Baneasa),AirPods Pro 2 (P14),2,5
2026-03-05,Bucuresti (Baneasa),AirPods Pro 2 (P14),1,29
2026-03-06,Bucuresti (Baneasa),AirPods Pro 2 (P14),1,28
2026-03-07,Bucuresti (Baneasa),AirPods Pro 2 (P14),3,27
2026-03-10,Bucuresti (Baneasa),AirPods Pro 2 (P14),2,24
2026-03-11,Bucuresti (Baneasa),AirPods Pro 2 (P14),4,22
2026-03-12,Bucuresti (Baneasa),AirPods Pro 2 (P14),3,18
2026-03-13,Bucuresti (Baneasa),AirPods Pro 2 (P14),2,15
2026-03-14,Bucuresti (Baneasa),AirPods Pro 2 (P14),3,13
2026-02-14,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),2,24
2026-02-15,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),1,22
2026-02-16,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),2,21
2026-02-20,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),2,19
2026-02-22,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),4,17
2026-02-24,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),2,13
2026-02-25,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),3,11
2026-02-26,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),1,8
2026-02-27,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),3,7
2026-02-28,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),4,15
2026-03-01,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),1,11
2026-03-02,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),1,10
2026-03-03,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),1,9
2026-03-05,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),1,8
2026-03-10,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),1,7
2026-03-11,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),2,6
2026-03-14,Bucuresti (Baneasa),Sony WH-1000XM5 (P15),2,4
2026-02-15,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),3,7
2026-02-19,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),2,33
2026-02-22,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),1,31
2026-02-24,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),3,30
2026-02-25,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),1,27
2026-02-26,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),2,26
2026-02-27,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),1,24
2026-02-28,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),3,23
2026-03-02,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),1,20
2026-03-07,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),3,19
2026-03-08,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),3,16
2026-03-13,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),1,13
2026-03-14,Bucuresti (Baneasa),Samsung 55-inch 4K TV (P16),0,12
2026-02-16,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),1,14
2026-02-18,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),1,13
2026-02-19,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),1,12
2026-02-23,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),1,11
2026-02-27,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),1,10
2026-02-28,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),2,9
2026-03-01,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),1,7
2026-03-04,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),2,6
2026-03-07,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),1,4
2026-03-12,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),1,3
2026-03-14,Bucuresti (Baneasa),LG OLED 65-inch TV (P17),1,17
2026-02-13,Bucuresti (Baneasa),PlayStation 5 (P18),1,34
2026-02-14,Bucuresti (Baneasa),PlayStation 5 (P18),2,33
2026-02-16,Bucuresti (Baneasa),PlayStation 5 (P18),2,31
2026-02-18,Bucuresti (Baneasa),PlayStation 5 (P18),1,29
2026-02-21,Bucuresti (Baneasa),PlayStation 5 (P18),1,28
2026-02-22,Bucuresti (Baneasa),PlayStation 5 (P18),1,27
2026-02-23,Bucuresti (Baneasa),PlayStation 5 (P18),3,26
2026-02-24,Bucuresti (Baneasa),PlayStation 5 (P18),2,23
2026-02-27,Bucuresti (Baneasa),PlayStation 5 (P18),2,21
2026-02-28,Bucuresti (Baneasa),PlayStation 5 (P18),1,19
2026-03-01,Bucuresti (Baneasa),PlayStation 5 (P18),2,18
2026-03-02,Bucuresti (Baneasa),PlayStation 5 (P18),2,16
2026-03-03,Bucuresti (Baneasa),PlayStation 5 (P18),1,14
2026-03-04,Bucuresti (Baneasa),PlayStation 5 (P18),2,13
2026-03-05,Bucuresti (Baneasa),PlayStation 5 (P18),1,11
2026-03-06,Bucuresti (Baneasa),PlayStation 5 (P18),2,10
2026-03-07,Bucuresti (Baneasa),PlayStation 5 (P18),2,8
2026-03-08,Bucuresti (Baneasa),PlayStation 5 (P18),2,6
2026-03-11,Bucuresti (Baneasa),PlayStation 5 (P18),1,4
2026-03-12,Bucuresti (Baneasa),PlayStation 5 (P18),1,3
2026-03-13,Bucuresti (Baneasa),PlayStation 5 (P18),2,2
2026-03-14,Bucuresti (Baneasa),PlayStation 5 (P18),0,0
2026-02-13,Bucuresti (Baneasa),Xbox Series X (P19),1,36
2026-02-15,Bucuresti (Baneasa),Xbox Series X (P19),2,35
2026-02-16,Bucuresti (Baneasa),Xbox Series X (P19),2,33
2026-02-17,Bucuresti (Baneasa),Xbox Series X (P19),1,31
2026-02-18,Bucuresti (Baneasa),Xbox Series X (P19),4,30
2026-02-19,Bucuresti (Baneasa),Xbox Series X (P19),3,26
2026-02-20,Bucuresti (Baneasa),Xbox Series X (P19),1,23
2026-02-21,Bucuresti (Baneasa),Xbox Series X (P19),1,22
2026-02-22,Bucuresti (Baneasa),Xbox Series X (P19),3,21
2026-02-23,Bucuresti (Baneasa),Xbox Series X (P19),3,18
2026-02-24,Bucuresti (Baneasa),Xbox Series X (P19),3,15
2026-02-25,Bucuresti (Baneasa),Xbox Series X (P19),1,12
2026-02-26,Bucuresti (Baneasa),Xbox Series X (P19),1,11
2026-02-27,Bucuresti (Baneasa),Xbox Series X (P19),1,10
2026-02-28,Bucuresti (Baneasa),Xbox Series X (P19),2,9
2026-03-01,Bucuresti (Baneasa),Xbox Series X (P19),1,7
2026-03-02,Bucuresti (Baneasa),Xbox Series X (P19),2,6
2026-03-03,Bucuresti (Baneasa),Xbox Series X (P19),3,27
2026-03-05,Bucuresti (Baneasa),Xbox Series X (P19),3,24
2026-03-06,Bucuresti (Baneasa),Xbox Series X (P19),1,21
2026-03-07,Bucuresti (Baneasa),Xbox Series X (P19),2,20
2026-03-08,Bucuresti (Baneasa),Xbox Series X (P19),1,18
2026-03-09,Bucuresti (Baneasa),Xbox Series X (P19),2,17
2026-03-10,Bucuresti (Baneasa),Xbox Series X (P19),1,15
2026-03-11,Bucuresti (Baneasa),Xbox Series X (P19),1,14
2026-03-12,Bucuresti (Baneasa),Xbox Series X (P19),7,13
2026-03-13,Bucuresti (Baneasa),Xbox Series X (P19),3,6
2026-03-14,Bucuresti (Baneasa),Xbox Series X (P19),1,3
2026-02-20,Bucuresti (Baneasa),Nintendo Switch OLED (P20),2,5
2026-02-21,Bucuresti (Baneasa),Nintendo Switch OLED (P20),1,3
2026-02-25,Bucuresti (Baneasa),Nintendo Switch OLED (P20),1,28
2026-03-05,Bucuresti (Baneasa),Nintendo Switch OLED (P20),1,27
2026-03-06,Bucuresti (Baneasa),Nintendo Switch OLED (P20),1,26
2026-03-07,Bucuresti (Baneasa),Nintendo Switch OLED (P20),1,25
2026-03-08,Bucuresti (Baneasa),Nintendo Switch OLED (P20),1,24
2026-03-13,Bucuresti (Baneasa),Nintendo Switch OLED (P20),1,23
2026-03-14,Bucuresti (Baneasa),Nintendo Switch OLED (P20),1,22
2026-02-13,Bucuresti (AFI),Iphone 15 Pro (P01),4,13
2026-02-14,Bucuresti (AFI),Iphone 15 Pro (P01),3,9
2026-02-15,Bucuresti (AFI),Iphone 15 Pro (P01),2,6
2026-02-16,Bucuresti (AFI),Iphone 15 Pro (P01),1,21
2026-02-17,Bucuresti (AFI),Iphone 15 Pro (P01),3,20
2026-02-18,Bucuresti (AFI),Iphone 15 Pro (P01),3,17
2026-02-19,Bucuresti (AFI),Iphone 15 Pro (P01),1,14
2026-02-20,Bucuresti (AFI),Iphone 15 Pro (P01),3,13
2026-02-21,Bucuresti (AFI),Iphone 15 Pro (P01),2,10
2026-02-23,Bucuresti (AFI),Iphone 15 Pro (P01),2,8
2026-02-24,Bucuresti (AFI),Iphone 15 Pro (P01),4,6
2026-02-26,Bucuresti (AFI),Iphone 15 Pro (P01),2,2
2026-03-03,Bucuresti (AFI),Iphone 15 Pro (P01),2,24
2026-03-05,Bucuresti (AFI),Iphone 15 Pro (P01),4,22
2026-03-06,Bucuresti (AFI),Iphone 15 Pro (P01),1,18
2026-03-07,Bucuresti (AFI),Iphone 15 Pro (P01),5,17
2026-03-08,Bucuresti (AFI),Iphone 15 Pro (P01),2,12
2026-03-09,Bucuresti (AFI),Iphone 15 Pro (P01),1,10
2026-03-10,Bucuresti (AFI),Iphone 15 Pro (P01),2,9
2026-03-11,Bucuresti (AFI),Iphone 15 Pro (P01),1,7
2026-03-12,Bucuresti (AFI),Iphone 15 Pro (P01),1,6
2026-03-13,Bucuresti (AFI),Iphone 15 Pro (P01),4,5
2026-03-14,Bucuresti (AFI),Iphone 15 Pro (P01),1,1
2026-02-13,Bucuresti (AFI),Iphone 15 Pro Max (P02),2,37
2026-02-14,Bucuresti (AFI),Iphone 15 Pro Max (P02),1,35
2026-02-15,Bucuresti (AFI),Iphone 15 Pro Max (P02),1,34
2026-02-16,Bucuresti (AFI),Iphone 15 Pro Max (P02),3,33
2026-02-17,Bucuresti (AFI),Iphone 15 Pro Max (P02),1,30
2026-02-18,Bucuresti (AFI),Iphone 15 Pro Max (P02),4,29
2026-02-20,Bucuresti (AFI),Iphone 15 Pro Max (P02),3,25
2026-02-21,Bucuresti (AFI),Iphone 15 Pro Max (P02),5,22
2026-02-22,Bucuresti (AFI),Iphone 15 Pro Max (P02),4,17
2026-02-23,Bucuresti (AFI),Iphone 15 Pro Max (P02),1,13
2026-02-24,Bucuresti (AFI),Iphone 15 Pro Max (P02),2,12
2026-02-25,Bucuresti (AFI),Iphone 15 Pro Max (P02),2,10
2026-02-26,Bucuresti (AFI),Iphone 15 Pro Max (P02),1,8
2026-02-27,Bucuresti (AFI),Iphone 15 Pro Max (P02),3,7
2026-02-28,Bucuresti (AFI),Iphone 15 Pro Max (P02),3,4
2026-03-02,Bucuresti (AFI),Iphone 15 Pro Max (P02),1,1
2026-03-14,Bucuresti (AFI),Iphone 15 Pro Max (P02),0,0
2026-02-13,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),4,18
2026-02-14,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),5,14
2026-02-15,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),9,9
2026-02-17,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),9,13
2026-02-18,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),3,4
2026-02-19,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),1,1
2026-02-21,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),7,22
2026-02-22,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),6,15
2026-02-23,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),9,9
2026-03-04,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),7,18
2026-03-05,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),4,11
2026-03-06,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),3,7
2026-03-07,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),3,4
2026-03-08,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),1,1
2026-03-14,Bucuresti (AFI),Samsung Galaxy S24 Ultra (P03),0,0
2026-02-13,Bucuresti (AFI),Samsung Galaxy A54 (P04),5,56
2026-02-14,Bucuresti (AFI),Samsung Galaxy A54 (P04),7,51
2026-02-15,Bucuresti (AFI),Samsung Galaxy A54 (P04),5,44
2026-02-16,Bucuresti (AFI),Samsung Galaxy A54 (P04),1,39
